Up to date
A,D,B0,B1,B2,Root,Y
3387475684871107469/12500000000000000000,271341662824610443461426500511/10000000000000000000,12406384196202069161436499305389/100000000000000000000,15059990094548689184150232787393/100000000000000000000,2258953051701627797217230403487/10000000000000000000,24791727983368230079251591166847/50000000000000000000,5430373385914309839313350899426976539596868355693515803/10000000000000000000
12605242464477932103/20000000000000000000,11321443980996130315155928976013/100000000000000000000,2080021157225553310069700933221/12500000000000000000,4269292389209818554936920314661/20000000000000000000,4091001840091310698145480043829/100000000000000000000,252788930500715749407871177293/625000000000000000,3428885557719143375635909453682260087169738408044006027/50000000000000000000
439283507140073462191/100000000000000000000,38066351754373634912308399473297/100000000000000000000,2916997268469716028986302901547/50000000000000000000,10977666021486887570482868502063/100000000000000000000,1340162350987655887675301677559/6250000000000000000,38096482768194112744625888034373/100000000000000000000,6715663363102748771955434604438897924425242176229947/50000000000000000000
117013403529371932531/20000000000000000000,104363069169151304760961983497/400000000000000000,1077314617335914320947088597087/12500000000000000000,1688306172921524095092606648209/12500000000000000000,6180050714065777846967277079311/100000000000000000000,14137841202939852879206654875623/50000000000000000000,38823924029443396801802864568377678640326481698354163/4000000000000000000
315884749094559873613/100000000000000000000,30142799746180597333992511846277/100000000000000000000,2949499915803040364843408043579/100000000000000000000,5830381303700633163435834936129/50000000000000000000,17089462820578346867582244169707/100000000000000000000,15676686882935692534167115270039/50000000000000000000,27033818961521093843818571784296940082611362216266621/12500000000000000000
45751902766897813521/20000000000000000000,50274312896561045803401795572411/100000000000000000000,4417671509152969037433385712771/50000000000000000000,7625378558423769750496458811401/50000000000000000000,9708189679597212022469537151/3125000000000000000,10809047848646691860948165633843/50000000000000000000,-599521738687426357119659011121964438900512955424038739/100000000000000000000
37679297096931620631/25000000000000000000,3151601732404111924949127262997/25000000000000000000,189993625615915206915278871177/50000000000000000000,278060432071823524070562045751/20000000000000000000,8725372980102240378033301136539/100000000000000000000,9267152803552477971470057957371/100000000000000000000,-504994844330544307174867392308121515856207811842141/5000000000000000000
27400109090563186869/25000000000000000000,5969398108267836839889972785113/100000000000000000000,14368463972474928010880661066743/100000000000000000000,6859646792854295187778844648097/50000000000000000000,122020008659430922232694516947/4000000000000000000,3038994022110712914404092749027/10000000000000000000,1890531237000261667205946555800202665342670448879331477/25000000000000000000
441552695329980819477/100000000000000000000,7574557813812479630874163824327/50000000000000000000,8021922531953375236716772774643/50000000000000000000,5900289887719218501113404586551/100000000000000000000,331163734904533233379625969143/10000000000000000000,25074365309348997868077457744889/100000000000000000000,1255933873949671381153030322370537762814123346708150083/50000000000000000000
263621200253621255649/100000000000000000000,11054413667816442703747021172211/20000000000000000000,4836537024206694797484688196081/50000000000000000000,4340000659848793554490783076843/20000000000000000000,2022808706668890837774726088099/25000000000000000000,19643214018384957810858417614567/50000000000000000000,-978234684124516873787067884154090532033499298163381561/25000000000000000000
14594504352704817529/25000000000000000000,68569346633678979061007058851383/100000000000000000000,6086850534518704584116939571379/50000000000000000000,5551778463132428191890899632761/100000000000000000000,6087053869488523871436125957633/100000000000000000000,4709970314580789558036784303303/20000000000000000000,-394044390526091623349282291646183528207883836331909561/25000000000000000000
57841560155323594703/100000000000000000000,16322397613618802941772634333827/100000000000000000000,8115946504375172609085049201439/50000000000000000000,15461338798369903984802151420157/100000000000000000000,1437157987823150088376360080573/100000000000000000000,29832578946035166954805876659731/100000000000000000000,599999854805127847260447085606534058297465303332142513/100000000000000000000
19878956581957826523/50000000000000000000,34705793806716207257896140512319/100000000000000000000,2510872439295845165701220621639/12500000000000000000,11222494185156047159974152193679/50000000000000000000,12256606540160600582369854605407/100000000000000000000,54390934196415647562285938735319/100000000000000000000,3830289327501833365016761740598450181539145585750110213/100000000000000000000
98124539532113060153/50000000000000000000,19031183774349701783763128081369/100000000000000000000,7136843128321156586537084297577/50000000000000000000,22206191838721650150738639154867/100000000000000000000,12633682504760464494873339864099/50000000000000000000,61649987125049509988237310142311/100000000000000000000,9602578884067844385526523826067982421028420473307674823/10000000000000000000
35901235906688558957/25000000000000000000,3681503692718850492261231216741/25000000000000000000,9930867765286091019874291957/20000000000000000000,5602519814238745486640371188463/25000000000000000000,12037651411595240553104252140187/100000000000000000000,21046962022790477167953976942129/100000000000000000000,1851350394884168919568392837018158774807496015569133/3125000000000000000
342174894954584304057/100000000000000000000,6211996468752969943073423272783/10000000000000000000,354283901639868585666891614413/12500000000000000000,3780405528224846052678807714411/100000000000000000000,15815159689425862003591283370329/100000000000000000000,22104313950025970658179520596287/100000000000000000000,-1871153065978036096672873138471986764953720168315320837/100000000000000000000
109120317040703645977/100000000000000000000,1619011510747732187552941338283/50000000000000000000,10218161849843691813935924114557/100000000000000000000,440948229266624595326809846641/25000000000000000000,14801323371089934574595569205467/100000000000000000000,25621985961208340445055206322147/100000000000000000000,5741517840455243367218747873248957542466846067866586083/100000000000000000000
33753160856744144789/20000000000000000000,20691748595912854122491417590069/100000000000000000000,9059294838592549134552290595901/100000000000000000000,311276048532011107252786581809/25000000000000000000,597731511438241354691217642663/50000000000000000000,1361357679564336449825983875877/12500000000000000000,-58758730647961281646584130354127024591957280932941883/100000000000000000000
229787028000848397327/50000000000000000000,27053452406442752167924246561513/100000000000000000000,25331681534563594902345381792169/100000000000000000000,31897156292319610334091147801/5000000000000000000,2250427960393984602637285288191/100000000000000000000,5028557294263470284462543263911/20000000000000000000,-401901436200409003890116185651592388950239432096323/800000000000000000
212782515223910823279/100000000000000000000,17749146900273539596408639807069/100000000000000000000,13798667271107772133310217173763/100000000000000000000,4802252992960713322306821683093/100000000000000000000,3199122959608618784377171748689/100000000000000000000,2690272221433905424486232384249/12500000000000000000,139226046463245441530557028918832074509611101683375993/50000000000000000000
58955955278356264691/25000000000000000000,6198749996415938496734814257979/20000000000000000000,81439508694970754961917593873/5000000000000000000,13224949819063376572189124450941/100000000000000000000,18541923480924512881707540757593/100000000000000000000,4039380051631960093399632984227/12500000000000000000,126752985834953519014675288372962333427184170359481587/100000000000000000000
65916310299008851123/20000000000000000000,449879513603536888544816204639/12500000000000000000,13378427696472185524772979899777/100000000000000000000,16644696883033201787387043771371/100000000000000000000,6494176826890943932380375196641/100000000000000000000,18210100011077719138146282481427/50000000000000000000,58923033975666397100939152825204277509741527057876009307/50000000000000000000
109218903150071155841/100000000000000000000,3196198439432352105759463207573/50000000000000000000,3153295045370336210159357536589/25000000000000000000,12224637613711173788139447692653/100000000000000000000,5207872861929796405852304735251/20000000000000000000,10109795181504919968461155339599/20000000000000000000,82795434250065579721906017285093746481603389152242717219/100000000000000000000
573729968066830023837/100000000000000000000,13273271126781019572254151655719/100000000000000000000,12525387595346030306072319819113/100000000000000000000,7076309571791817480878063388331/50000000000000000000,1161116035674364139683136821689/6250000000000000000,22621861271123409714163430737237/50000000000000000000,123242939235609325985098745674952907623852810093393894313/100000000000000000000
181635323057367526311/100000000000000000000,73264216437265787295218432069837/100000000000000000000,9123919297004355449833313581517/100000000000000000000,285814271639869160668919074819/100000000000000000000,933386020517106415949473705483/100000000000000000000,872386750249166288263371505857/10000000000000000000,-366628305620589907368321488676207695776843981422450937/25000000000000000000
54350437362875537991/100000000000000000000,42671718400810734132736074001799/100000000000000000000,2360485775946748133368088533547/100000000000000000000,494383787940811048420056714657/6250000000000000000,5588330501998499110567924351541/25000000000000000000,7463644547151929025490856648099/25000000000000000000,-97564815188871562543251691993552897514077986849279547/25000000000000000000
277958919575570300159/50000000000000000000,436159524997797223592087564493/1250000000000000000,10593943887492414635438410729967/100000000000000000000,5760418969848487448591784052661/50000000000000000000,4608509584469814180699851850787/50000000000000000000,156646063246812121551083107533/500000000000000000,-353611488585768215162485716962415358836350479560861319/20000000000000000000
177503088252324541359/100000000000000000000,4122843999401297630927107458319/25000000000000000000,8575392171388618502819032928719/100000000000000000000,8506567306828654763174694360367/100000000000000000000,12850555144288917297329099396791/100000000000000000000,29897650893752339954747071762149/100000000000000000000,1869399287014989746757544821622425308311950049986984367/50000000000000000000
43915232051241164483/12500000000000000000,1081838283841650404595330339039/20000000000000000000,823673020171008507126369819347/50000000000000000000,4672739081518311060326801677587/100000000000000000000,5360392563172164324590970440509/25000000000000000000,26820319487401845629826451766241/100000000000000000000,1297096327694921836375760002489522084092520093952561099/20000000000000000000
15299542100772975321/25000000000000000000,274017212302103067051441897369/50000000000000000000,1667421386331451664632349430627/50000000000000000000,1203744815642296977541818353089/12500000000000000000,522591909670274725296153512413/25000000000000000000,72339128652969605641493735443/500000000000000000,588599811997059671102558866487190224063002786612847721/20000000000000000000
3409091936779315659/781250000000000000,5630012726676282679038197360567/50000000000000000000,16327287696577484669939313257609/100000000000000000000,10191040256317726245653217452809/50000000000000000000,17370386608069205886107586129017/100000000000000000000,13518443136759253641743160420057/25000000000000000000,259566373342153245769159538049215768933000412227981055359/100000000000000000000
21100623140537334459/20000000000000000000,56106326301481952536393847124529/100000000000000000000,11098739582790097765347577831/10000000000000000000,18425685618724431326696745183071/100000000000000000000,16371695621373055738246979773673/100000000000000000000,945199208360031953732915337761/4000000000000000000,-686826655692853466936828125779855469938787056990381713/100000000000000000000
89347306489831495071/100000000000000000000,43676896517476423026288245156549/100000000000000000000,6813157330656228532003317181763/100000000000000000000,20456237430764534632975495941337/100000000000000000000,18118754909471181604009781713887/100000000000000000000,4479674876483128040155622362063/10000000000000000000,182603846262698939037186446871690584270888722800126807/100000000000000000000
81529196867484769173/50000000000000000000,1188314403275101254699963115003/12500000000000000000,6079233366740075613954574909411/50000000000000000000,268162263446648632459730632093/25000000000000000000,190875508643354574807978364141/1250000000000000000,26900215310322144441989061797451/100000000000000000000,1768568363216207118410834340424599775643157510941560011/100000000000000000000
